,Unnamed: 0,Unnamed: 0.1,tweet_id,timestamp,dog_name,doggo,floofer,pupper,puppo,api_favorite_count,api_lang,api_retweet_count,img_jpg_url,img_img_num,img_p1,img_p1_conf,img_p1_dog,img_p2,img_p2_conf,img_p2_dog,img_p3,img_p3_conf,img_p3_dog,rating,followers_count,statuses_count,friends_count,float_rating,just_date
0,0,0,892420643555336193,2017-08-01 16:23:56,Phineas,None,None,None,None,35460.0,en,7488.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,13/10,8877190.0,13020.0,19.0,1.3,2017-08-01
1,1,1,892177421306343426,2017-08-01 00:17:27,Tilly,None,None,None,None,30695.0,en,5557.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,13/10,8877190.0,13020.0,19.0,1.3,2017-08-01
2,2,2,891815181378084864,2017-07-31 00:18:03,Archie,None,None,None,None,23089.0,en,3680.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,12/10,8877190.0,13020.0,19.0,1.2,2017-07-31
3,3,3,891689557279858688,2017-07-30 15:58:51,Darla,None,None,None,None,38750.0,en,7665.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,13/10,8877190.0,13020.0,19.0,1.3,2017-07-30
4,4,4,891327558926688256,2017-07-29 16:00:24,Franklin,None,None,None,None,37027.0,en,8267.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,12/10,8877190.0,13020.0,19.0,1.2,2017-07-29
5,5,5,891087950875897856,2017-07-29 00:08:17,None,None,None,None,None,18666.0,en,2767.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,13/10,8877190.0,13020.0,19.0,1.3,2017-07-29
6,6,6,890971913173991426,2017-07-28 16:27:12,Jax,None,None,None,None,10849.0,en,1797.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,13/10,8877190.0,13020.0,19.0,1.3,2017-07-28
7,7,7,890729181411237888,2017-07-28 00:22:40,None,None,None,None,None,59775.0,en,16770.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,13/10,8877190.0,13020.0,19.0,1.3,2017-07-28
8,8,8,890609185150312448,2017-07-27 16:25:51,Zoey,None,None,None,None,25687.0,en,3822.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,13/10,8877190.0,13020.0,19.0,1.3,2017-07-27
9,9,9,890240255349198849,2017-07-26 15:59:51,Cassie,doggo,None,None,None,29319.0,en,6508.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,14/10,8877190.0,13020.0,19.0,1.4,2017-07-26
10,10,10,890006608113172480,2017-07-26 00:31:25,Koda,None,None,None,None,28253.0,en,6515.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,13/10,8877190.0,13020.0,19.0,1.3,2017-07-26
11,11,11,889880896479866881,2017-07-25 16:11:53,Bruno,None,None,None,None,25708.0,en,4430.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,13/10,8877190.0,13020.0,19.0,1.3,2017-07-25
